YEAR,Player,Team,Conf,G,Rec,RecYds,YperR,RecTD,RecYperG,RusAtt,RusYds,YperA,RusTD,RusYperG,Plays,Yds,Avg,TD,Awards
2025,Danny Scudero,San Jose State,MWC,12,88,1297,14.7,10,108.1,0,0,,0,0,88,1297,14.7,10,
2025,Skyler Bell,Connecticut,Ind,13,101,1278,12.7,13,98.3,2,-2,-1,0,-0.2,103,1276,12.4,13,AA
2025,Wyatt Young,North Texas,American,14,70,1264,18.1,10,90.3,3,16,5.3,1,1.1,73,1280,17.5,11,
2025,Jeremiah Smith,Ohio State,Big Ten,13,87,1243,14.3,12,95.6,3,21,7,1,1.6,90,1264,14,13,"H-6,AA"
2025,Malachi Toney,Miami (FL),ACC,16,109,1211,11.1,10,75.7,23,113,4.9,1,7.1,132,1324,10,11,
2025,Beau Sparks,Texas State,Sun Belt,13,84,1200,14.3,10,92.3,6,74,12.3,1,5.7,90,1274,14.2,11,
2025,Eric McAlister,Texas Christian,Big 12,13,72,1190,16.5,10,91.5,0,0,,0,0,72,1190,16.5,10,
2025,Makai Lemon,USC,Big Ten,12,79,1156,14.6,11,96.3,9,4,0.4,2,0.3,88,1160,13.2,13,AA
2025,Cooper Barkate,Duke,ACC,14,72,1106,15.4,7,79,0,0,,0,0,72,1106,15.4,7,
2025,KJ Duff,Rutgers,Big Ten,12,60,1084,18.1,7,90.3,0,0,,0,0,60,1084,18.1,7,
2025,Duce Robinson,Florida State,ACC,12,56,1081,19.3,6,90.1,0,0,,0,0,56,1081,19.3,6,
2025,Camden Brown,Georgia Southern,Sun Belt,13,65,1079,16.6,14,83,0,0,,0,0,65,1079,16.6,14,
2025,Brenen Thompson,Mississippi State,SEC,13,57,1054,18.5,6,81.1,4,14,3.5,1,1.1,61,1068,17.5,7,
2025,Anthony Smith,East Carolina,American,13,64,1053,16.5,7,81,1,45,45,1,3.5,65,1098,16.9,8,
2025,Easton Messer,Florida Atlantic,American,12,104,1052,10.1,6,87.7,3,45,15,1,3.8,107,1097,10.3,7,
2025,Chase Hendricks,Ohio,MAC,13,71,1037,14.6,7,79.8,1,1,1,0,0.1,72,1038,14.4,7,
2025,Corey Rucker,Arkansas State,Sun Belt,13,75,1032,13.8,4,79.4,4,16,4,0,1.2,79,1048,13.3,4,
2025,Jacob De Jesus,California,ACC,13,108,1030,9.5,6,79.2,7,-7,-1,0,-0.5,115,1023,8.9,6,
2025,Chris Brazzell II,Tennessee,SEC,12,62,1017,16.4,9,84.8,0,0,,0,0,62,1017,16.4,9,
2025,Junior Vandeross III,Toledo,MAC,13,82,1008,12.3,11,77.5,2,5,2.5,0,0.4,84,1013,12.1,11,
2025,Chris Dawn Jr.,Texas State,Sun Belt,12,65,1007,15.5,4,83.9,1,-2,-2,0,-0.2,66,1005,15.2,4,
2025,Ted Hurst,Georgia State,Sun Belt,12,71,1004,14.1,6,83.7,0,0,,0,0,71,1004,14.1,6,
2025,Lewis Bond,Boston College,ACC,12,88,993,11.3,1,82.8,4,3,0.8,0,0.3,92,996,10.8,1,
2025,Nik McMillan,Buffalo,MAC,12,62,981,15.8,3,81.8,0,0,,0,0,62,981,15.8,3,
2025,Kamryn Perry,Miami (OH),MAC,14,43,976,22.7,6,69.7,0,0,,0,0,43,976,22.7,6,
2025,Amare Thomas,Houston,Big 12,13,67,966,14.4,12,74.3,5,9,1.8,0,0.7,72,975,13.5,12,
2025,Isaiah Sategna,Oklahoma,SEC,13,67,965,14.4,8,74.2,4,24,6,0,1.8,71,989,13.9,8,
2025,Jackson Harris,Hawaii,MWC,11,49,963,19.7,12,87.5,0,0,,0,0,49,963,19.7,12,
2025,Gabriel Benyard,Kennesaw State,CUSA,14,60,949,15.8,9,67.8,17,117,6.9,1,8.4,77,1066,13.8,10,
2025,Eli Heidenreich,Navy,American,13,51,941,18.5,6,72.4,77,499,6.5,3,38.4,128,1440,11.3,9,
2025,Omar Cooper Jr.,Indiana,Big Ten,16,69,937,13.6,13,58.6,3,74,24.7,1,4.6,72,1011,14,14,
2025,Harrison Wallace III,Ole Miss,SEC,15,61,934,15.3,4,62.3,3,1,0.3,0,0.1,64,935,14.6,4,
2025,Jaden Bradley,Nevada-Las Vegas,MWC,14,58,931,16.1,4,66.5,1,15,15,0,1.1,59,946,16,4,
2025,Parker Kingston,BYU,Big 12,14,67,928,13.9,5,66.3,25,119,4.8,3,8.5,92,1047,11.4,8,
2025,Iverson Hooks,UAB,American,12,72,927,12.9,7,77.3,1,0,0,0,0,73,927,12.7,7,
2025,Braden Pegan,Utah State,MWC,12,60,926,15.4,5,77.2,4,11,2.8,1,0.9,64,937,14.6,6,
2025,Kevin Concepcion,Texas A&M,SEC,13,61,919,15.1,9,70.7,10,75,7.5,1,5.8,71,994,14,10,AA
2025,Chris Bell,Louisville,ACC,11,72,917,12.7,6,83.4,0,0,,0,0,72,917,12.7,6,
2025,Mario Craver,Texas A&M,SEC,12,59,917,15.5,4,76.4,11,81,7.4,1,6.8,70,998,14.3,5,
2025,Cameron Dorner,North Texas,American,14,56,911,16.3,8,65.1,1,2,2,0,0.1,57,913,16,8,
2025,Cortez Braham,Memphis,American,12,63,889,14.1,8,74.1,0,0,,0,0,63,889,14.1,8,
2025,Matthew Henry,Western Kentucky,CUSA,13,55,888,16.1,6,68.3,3,-6,-2,0,-0.5,58,882,15.2,6,
2025,Denzel Boston,Washington,Big Ten,12,62,881,14.2,11,73.4,0,0,,0,0,62,881,14.2,11,
2025,Griffin Wilde,Northwestern,Big Ten,13,71,880,12.4,8,67.7,1,5,5,0,0.4,72,885,12.3,8,
2025,Keshaun Singleton,South Florida,American,12,50,877,17.5,8,73.1,0,0,,0,0,50,877,17.5,8,
2025,Sean Wilson,Delaware,CUSA,13,68,877,12.9,3,67.5,0,0,,0,0,68,877,12.9,3,
2025,Carnell Tate,Ohio State,Big Ten,11,51,875,17.2,9,79.5,2,16,8,0,1.5,53,891,16.8,9,
2025,Josh Cameron,Baylor,Big 12,12,69,872,12.6,9,72.7,0,0,,0,0,69,872,12.6,9,
2025,Hank Beatty,Illinois,Big Ten,13,70,864,12.3,3,66.5,4,46,11.5,1,3.5,74,910,12.3,4,
2025,Germie Bernard,Alabama,SEC,14,64,862,13.5,7,61.6,18,101,5.6,2,7.2,82,963,11.7,9,
2025,Trell Harris,Virginia,ACC,13,59,847,14.4,5,65.2,0,0,,0,0,59,847,14.4,5,
2025,Caleb Douglas,Texas Tech,Big 12,14,54,846,15.7,7,60.4,0,0,,0,0,54,846,15.7,7,
2025,Sean Brown,Duke,ACC,14,64,846,13.2,5,60.4,2,-13,-6.5,0,-0.9,66,833,12.6,5,
2025,Alex Perry,Florida International,CUSA,13,56,840,15,9,64.6,0,0,,0,0,56,840,15,9,
2025,Braylon Staley,Tennessee,SEC,13,68,837,12.3,6,64.4,0,0,,0,0,68,837,12.3,6,
2025,T.J. Moore,Clemson,ACC,13,52,837,16.1,4,64.4,2,8,4,0,0.6,54,845,15.6,4,
2025,Ryan Wingo,Texas,SEC,13,54,834,15.4,7,64.2,7,42,6,0,3.2,61,876,14.4,7,
2025,Anthony Evans III,Mississippi State,SEC,13,67,831,12.4,4,63.9,7,47,6.7,0,3.6,74,878,11.9,4,
2025,Elijah Sarratt,Indiana,Big Ten,14,65,830,12.8,15,59.3,0,0,,0,0,65,830,12.8,15,
2025,Pofele Ashlock,Hawaii,MWC,13,76,827,10.9,8,63.6,0,0,,0,0,76,827,10.9,8,
2025,Kyre Duplessis,Delaware,CUSA,13,60,824,13.7,5,63.4,3,19,6.3,0,1.5,63,843,13.4,5,
2025,Trent Walker,Oregon State,Ind,12,68,823,12.1,2,68.6,0,0,,0,0,68,823,12.1,2,
2025,Victor Snow,Buffalo,MAC,12,62,815,13.1,8,67.9,12,91,7.6,2,7.6,74,906,12.2,10,
2025,Mike Matthews,Tennessee,SEC,13,53,813,15.3,4,62.5,2,32,16,0,2.5,55,845,15.4,4,
2025,De'Zhaun Stribling,Ole Miss,SEC,15,55,811,14.7,6,54.1,0,0,,0,0,55,811,14.7,6,
2025,Zachariah Branch,Georgia,SEC,14,81,811,10,6,57.9,4,7,1.8,0,0.5,85,818,9.6,6,
2025,Omarion Miller,Colorado,Big 12,11,45,808,18,8,73.5,0,0,,0,0,45,808,18,8,
2025,Tre Richardson,Vanderbilt,SEC,13,46,806,17.5,7,62,11,62,5.6,0,4.8,57,868,15.2,7,
2025,Chase Roberts,BYU,Big 12,13,54,802,14.9,6,61.7,0,0,,0,0,54,802,14.9,6,
2025,Chauncy Cobb,Arkansas State,Sun Belt,13,73,797,10.9,1,61.3,1,-2,-2,0,-0.2,74,795,10.7,1,
2025,Marcus Sanders Jr.,Georgia Southern,Sun Belt,13,50,797,15.9,5,61.3,0,0,,0,0,50,797,15.9,5,
2025,Trond Grizzell,California,ACC,13,55,788,14.3,1,60.6,0,0,,0,0,55,788,14.3,1,
2025,Junior Sherrill,Vanderbilt,SEC,13,54,784,14.5,7,60.3,4,16,4,1,1.2,58,800,13.8,8,
2025,Devin Voisin,South Alabama,Sun Belt,12,67,776,11.6,4,64.7,0,0,,0,0,67,776,11.6,4,
2025,Keagan Johnson,New Mexico,MWC,12,61,772,12.7,3,64.3,2,9,4.5,0,0.8,63,781,12.4,3,
2025,Demarcus Lacey,Marshall,Sun Belt,12,65,769,11.8,5,64.1,19,157,8.3,0,13.1,84,926,11,5,
2025,Eli Stowers,Vanderbilt,SEC,12,62,769,12.4,4,64.1,2,2,1,0,0.2,64,771,12,4,AA
2025,O'Mega Blake,Arkansas,SEC,12,58,769,13.3,5,64.1,0,0,,0,0,58,769,13.3,5,
