Year,Name,Team,Conference,Class,Height,Position,Games,SS,AS,SY,TS,SPG
2025,Nadame Tucker,Western Mich.,MAC,Sr.,6-3,DL,13,12,5,119,14.5,1.12
2025,John Henry Daley,Utah,Big 12,So.,6-4,DE,11,10,3,91,11.5,1.05
2025,David Bailey,Texas Tech,Big 12,Sr.,6-3,LB,14,13,3,133,14.5,1.04
2025,Nathan Voorhis,Ball St.,MAC,Sr.,6-3,DE,12,11,2,81,12,1
2025,Anthony Smith,Minnesota,Big Ten,Jr.,6-6,DL,13,10,5,100,12.5,0.96
2025,Colin Simmons,Texas,SEC,So.,6-3,DE,13,11,2,55,12,0.92
2025,Gabe Jacas,Illinois,Big Ten,Sr.,6-3,DE,12,9,4,61,11,0.92
2025,Cashius Howell,Texas A&M,SEC,Sr.,6-2,DE,13,11,1,80,11.5,0.88
2025,Melkart Abou Jaoude,North Carolina,ACC,Jr.,6-5,DL,12,10,1,65,10.5,0.88
2025,Akheem Mesidor,Miami FL,ACC,Sr.,6-3,DL,15,10,5,99,12.5,0.83
2025,Jack Kelly,BYU,Big 12,Sr.,6-3,LB,12,10,0,75,10,0.83
2025,Derrick Moore,Michigan,Big Ten,Sr.,6-3,DE,12,9,2,97,10,0.83
2025,Michael Heldman,Central Mich.,MAC,Sr.,6-4,DL,13,10,1,48,10.5,0.81
2025,Bryun Parham,UConn,FBS Independent,Sr.,5-11,LB,13,9,3,79,10.5,0.81
2025,Caden Curry,Ohio St.,Big Ten,Sr.,6-3,DE,14,11,0,72,11,0.79
2025,Donnie Smith,Troy,Sun Belt,Jr.,6-4,DE,14,10,2,69,11,0.79
2025,Xavier Atkins,Auburn,SEC,So.,6-0,LB,12,8,2,50,9,0.75
2025,Romello Height,Texas Tech,Big 12,Sr.,6-3,DE,14,8,4,70,10,0.71
2025,Keyshawn James-Newby,New Mexico,Mountain West,Sr.,6-2,DE,13,8,2,53,9,0.69
2025,Damon Wilson II,Missouri,SEC,Jr.,6-4,DE,13,7,4,70,9,0.69
2025,Aidan Hubbard,Northwestern,Big Ten,Sr.,6-4,DL,11,7,1,49,7.5,0.68
2025,Quincy Rhodes Jr.,Arkansas,SEC,Jr.,6-6,DE,12,8,0,56,8,0.67
2025,Dani Dennis-Sutton,Penn St.,Big Ten,Sr.,6-5,DE,13,8,1,57,8.5,0.65
2025,Adam Trick,Miami OH,MAC,Sr.,6-4,LB,13,8,1,69,8.5,0.65
2025,Demarcus Hendricks,Arkansas St.,Sun Belt,Sr.,6-2,DE,13,7,3,62,8.5,0.65
2025,Clev Lubin,Louisville,ACC,Jr.,6-3,DL,13,7,3,75,8.5,0.65
2025,Isaiah Smith,SMU,ACC,Sr.,6-4,DE,13,7,3,44,8.5,0.65
2025,R Mason Thomas,Oklahoma,SEC,Sr.,6-2,DL,10,6,1,54,6.5,0.65
2025,Elijah Hill,Kennesaw St.,CUSA,Fr.,6-2,DL,14,7,4,60,9,0.64
2025,Teitum Tuioti,Oregon,Big Ten,Jr.,6-3,LB,15,8,3,68,9.5,0.63
2025,Ethan Hurkett,Iowa,Big Ten,Sr.,6-3,DL,13,7,2,65,8,0.62
2025,John Miller,Utah St.,Mountain West,Sr.,,LB,13,7,2,57,8,0.62
2025,Ethan Hassler,Arkansas St.,Sun Belt,Sr.,6-2,DE,13,6,4,68,8,0.62
2025,Princewill Umanmielen,Ole Miss,SEC,Jr.,6-5,LB,15,8,2,49,9,0.6
2025,Rueben Bain Jr.,Miami FL,ACC,Jr.,6-3,DL,16,8,3,57,9.5,0.59
2025,Boubacar Traore,Notre Dame,FBS Independent,So.,6-4,DL,11,6,1,50,6.5,0.59
2025,Keyshaun Elliott,Arizona St.,Big 12,Sr.,6-2,LB,12,7,0,21,7,0.58
2025,Malachi Lawrence,UCF,Big 12,Sr.,6-4,DE,12,7,0,41,7,0.58
2025,Bryan Thomas Jr.,South Carolina,SEC,Sr.,6-2,DE,12,7,0,54,7,0.58
2025,Tyler Thompson,North Carolina,ACC,So.,,LB,12,7,0,46,7,0.58
2025,Sidney Stewart,Maryland,Big Ten,Fr.,,DL,12,6,2,44,7,0.58
