Year,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
2025,Zach Allen,28,DEN,DL,17,17,0,0,0,,0,,,0,,,0,0,1,7,32,6,7,50,38,5,11.6,"PB,AP-1"
2025,Aidan Hutchinson,25,DET,DE,17,17,1,2,0,0,0,,0,0,0,-5.5,0,0,1,15,20,2,14.5,50,54,6,10,"PB,AP-2,AP DPoY-5,AP CPoY-2"
2025,Osa Odighizuwa,27,DAL,DT,17,13,0,1,1,100,29,29,29,1,158.3,-1,-1,30,0,7,20,0,3.5,31,44,3,6.4,
2025,Jared Verse,25,LAR,OLB,17,17,0,9,7,77.8,59,8.4,6.6,0,94,-0.4,1,58,20,10,18,1,7.5,36,58,4,6.5,PB
2025,Chris Jones,31,KAN,DT,17,17,0,0,0,,0,,,0,,,0,0,0,7,18,1,7,32,29,3,9.4,PB
2025,Josh Hines-Allen,28,JAX,DE,17,17,0,4,4,100,25,6.3,6.3,0,92.7,1.8,7,18,6,20,17,3,8,46,49,9,15.5,
2025,Abdul Carter,22,NYG,OLB,17,6,0,3,2,66.7,54,27,18,0,109.7,4,12,42,32,12,17,0,4,34,43,2,4.4,AP DRoY-5
2025,Byron Young,27,LAR,OLB,17,17,0,16,13,81.3,134,10.3,8.4,0,101.6,2.2,21,113,20,10,17,0,12,40,82,3,3.5,PB
2025,Jalyx Hunt,24,PHI,OLB,17,9,3,9,3,33.3,8,2.7,0.9,0,2.8,-1.7,-12,20,12,5,17,0,6.5,29,52,4,7.1,
2025,Jihad Ward,31,TEN,OLB,17,12,0,7,6,85.7,33,5.5,4.7,1,125.9,0.3,-4,37,14,5,16,3,5,27,31,2,6.1,
2025,Dre'Mont Jones,28,2TM,OLB,18,17,0,5,4,80,23,5.8,4.6,0,85.8,-1.2,-6,29,10,4,16,1,7,28,43,0,0,
2025,George Karlaftis III,24,KAN,DE,16,15,0,3,2,66.7,17,8.5,5.7,0,81.2,-1.7,3,14,0,9,15,3,6,31,48,3,5.9,
2025,Myles Garrett,30,CLE,DE,17,17,0,0,0,,0,,,0,,,0,0,1,14,14,1,23,53,60,2,3.2,"PB,AP-1,AP DPoY-1"
2025,Brian Burns,27,NYG,OLB,17,17,0,14,12,85.7,56,4.7,4,0,83.3,-0.6,0,56,39,10,14,5,16.5,41,67,4,5.6,"PB,AP-2"
2025,Gregory Rousseau,25,BUF,DE,16,16,0,6,4,66.7,25,6.3,4.2,0,75,-2,-6,31,3,7,13,2,7,29,46,2,4.2,
2025,Micah Parsons,26,GNB,DL,14,13,0,3,1,33.3,6,6,2,0,42.4,-1.3,-4,10,3,22,12,0,12.5,48,41,3,6.8,"PB,AP-1,AP DPoY-3"
2025,DeMarcus Lawrence,33,SEA,LB,16,16,0,6,5,83.3,21,4.2,3.5,0,81.2,-1,-11,32,11,19,12,1,6,39,53,6,10.2,PB
2025,YaYa Diaby,26,TAM,OLB,17,17,0,10,10,100,79,7.9,7.9,0,99.6,-0.4,-4,83,23,13,12,1,7,32,50,5,9.1,
2025,Rashan Gary,28,GNB,DL,16,15,0,1,0,0,0,,0,0,39.6,-2,0,0,10,11,12,1,7.5,31,45,5,10,
2025,Leonard Williams,31,SEA,DT,17,17,0,3,2,66.7,6,3,2,0,70.1,-2,-2,8,0,8,12,1,7,29,62,7,10.1,"PB,AP-2"
2025,Jacob Martin,30,WAS,DE,17,14,0,6,3,50,28,9.3,4.7,0,63.2,2.3,11,17,6,7,12,0,5.5,26,39,4,9.3,
2025,Derick Hall,24,SEA,OLB,14,3,0,6,4,66.7,47,11.8,7.8,0,90.3,-0.2,9,38,3,7,12,1,2,21,30,7,18.9,
2025,Bryce Huff,27,SFO,DL,15,8,0,9,9,100,45,5,5,1,124.5,-2.1,-19,64,6,12,11,1,4,27,30,4,11.8,
2025,Maxx Crosby,28,LVR,DE,15,15,1,3,2,66.7,1,0.5,0.3,0,30.6,-4,-7,8,4,8,11,6,10,29,73,9,11,PB
2025,Joey Bosa,30,BUF,DE,15,15,0,2,1,50,8,8,4,0,60.4,1.5,4,4,0,8,11,3,5,24,29,6,17.1,
2025,Jaelan Phillips,26,2TM,DT,17,17,0,13,11,84.6,82,7.5,6.3,0,92.9,0.6,8,74,22,20,10,4,5,35,53,6,10.2,
