YEAR,NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,plusMinus
2025,Jaxon Smith-Njigba,SEA,WR,6.3,3,11.3,48.64,119,163,73.01,1793,10,4.8,4,0.8
2025,Puka Nacua,LAR,WR,6,2.9,8.9,27.92,129,166,77.71,1715,10,5.6,4.3,1.3
2025,George Pickens,DAL,WR,5.2,2.3,11.7,31.69,93,137,67.88,1429,9,5.3,3.1,2.2
2025,Ja'Marr Chase,CIN,WR,5.7,3.2,8.4,34.1,125,185,67.57,1412,8,5.2,3.9,1.3
2025,Amon-Ra St. Brown,DET,WR,6.1,3,8.3,38.43,117,172,68.02,1401,11,5.2,4.8,0.3
2025,Trey McBride,AZ,TE,5.5,3.1,6.9,25.83,126,169,74.56,1239,11,4.7,4,0.7
2025,Zay Flowers,BAL,WR,6.5,3.6,9.9,34.74,86,118,72.88,1211,5,5.6,5.4,0.2
2025,Chris Olave,NO,WR,6.8,2.9,11.6,39.28,100,156,64.1,1163,9,3,3.6,-0.5
2025,Nico Collins,HOU,WR,4.9,2.3,12.9,34.09,71,120,59.17,1117,6,4.9,3.2,1.7
2025,Jameson Williams,DET,WR,6.1,3.2,12.4,33.8,65,102,63.73,1109,7,6.8,5,1.8
2025,CeeDee Lamb,DAL,WR,6.1,2.8,12.3,28.34,75,117,64.1,1077,3,4.5,4,0.5
2025,Justin Jefferson,MIN,WR,5.8,3.2,10.4,38.38,84,141,59.57,1048,2,5.3,4.5,0.8
2025,Courtland Sutton,DEN,WR,5.3,2.3,12.6,35.58,74,124,59.68,1017,7,3.3,3.2,0.1
2025,Wan'Dale Robinson,NYG,WR,6.7,3.4,8.7,27.62,92,140,65.71,1014,4,4.6,4.2,0.3
2025,Stefon Diggs,NE,WR,5.8,3,8.5,19.76,85,102,83.33,1013,4,4.4,3.6,0.8
2025,Tetairoa McMillan,CAR,WR,5.7,2.7,12.4,44.54,70,122,57.38,1013,7,3.8,3.7,0.1
2025,DeVonta Smith,PHI,WR,6.4,2.8,12,32.37,77,113,68.14,1008,4,3.8,3.9,-0.1
2025,Michael Wilson,AZ,WR,6,2.4,11.4,31.86,78,126,61.9,1006,7,3.8,3.2,0.6
2025,Alec Pierce,IND,WR,6.3,2.1,19.1,37.33,47,84,55.95,1003,6,4.3,3,1.3
2025,A.J. Brown,PHI,WR,5.7,2.2,11.6,33.38,78,121,64.46,1003,7,3.4,2.4,1.1
2025,Emeka Egbuka,TB,WR,6.2,2.6,12.2,35.51,63,127,49.61,938,6,5.4,4.7,0.7
2025,Kyle Pitts,ATL,TE,5.6,3.6,7.2,20.68,88,118,74.58,928,5,4.9,5.8,-0.9
2025,Drake London,ATL,WR,5.8,2.7,10.8,29.55,68,112,60.71,919,7,4,3.3,0.6
2025,Jaylen Waddle,MIA,WR,6.2,2.7,12.3,38.66,64,100,64,910,6,4.1,4,0.1
2025,Juwan Johnson,NO,TE,6,3.6,7.3,16.13,77,102,75.49,889,3,4.9,4.8,0.1
2025,Travis Kelce,KC,TE,5.6,3.2,6.3,16.55,76,108,70.37,851,5,6.1,5.7,0.4
2025,DK Metcalf,PIT,WR,4.5,2.6,9.8,31.6,59,99,59.6,850,6,7.6,4.8,2.8
2025,Parker Washington,JAX,WR,6.4,2.4,12.6,24.55,58,95,61.05,847,5,4.9,3.2,1.7
2025,Tee Higgins,CIN,WR,5.2,1.8,13.5,29.02,59,98,60.2,846,11,3.2,2.8,0.4
2025,Jakobi Meyers,JAX,WR,6.4,2.7,9.4,31.79,75,110,68.18,835,3,3.8,3.5,0.3
2025,Tyler Warren,IND,TE,5.9,3.3,5.5,14.39,76,112,67.86,817,4,6.7,6,0.6
2025,Michael Pittman,IND,WR,6.8,3,8,20.67,80,111,72.07,793,7,3.8,3.4,0.4
2025,Ladd McConkey,LAC,WR,5.8,3.3,10,23.9,66,106,62.26,789,6,4.8,3.8,1
2025,Davante Adams,LAR,WR,5.2,2.2,13.2,28.43,60,114,52.63,789,14,2.1,2.7,-0.6
2025,Keenan Allen,LAC,WR,6.2,2.6,8.5,23.37,81,122,66.39,777,4,3.1,2.7,0.3
